SPU,包装尺寸,包装实重(KGS),Shipping Cost ($)
CROMWELL VELVET YELLOW Ⅰ,67.00*34.00*59.00,8.0,11.204784
CROMWELL VINTAGE BLACK LEG Ⅰ,67.00*34.00*59.00,8.0,11.204784
CROMWELL YELLOW 2PCS SD,62.00*56.50*44.50,12.8,18.4376544
CRW-DC001 IVORY,55.00*75.00*52.00,11.1,16.9385128
CRW-DC002 CHARCOAL,55.00*75.00*52.00,11.1,16.9385128
CRW-DC003 AGATE,55.00*75.00*52.00,11.1,16.9385128
DONCIC DINING BROWN SUEDE BLACK GOLD LEG,70.00*40.00*58.00,12.0,17.732176
DONCIC DINING BROWN SUEDE BLACK GOLD LEG,70.00*40.00*58.00,12.0,17.732176
FAWN PINK VELVET,100.50*38.00*45.50,15.7,15.9950136
FAWN TAUPE A,101.00*34.00*43.00,10.0,15.96848
FAWN TAUPE VELVET,100.50*38.00*45.50,15.7,15.9950136
FELICIO CORDUROY RED,55.00*49.00*51.50,13.0,18.614024
FERRELL KHAKI,64.50*53.00*60.00,16.05,16.3036604
FRANKFURT BLACK 4PCS Ⅱ,64.00*63.00*51.00,21.4,21.0215472
FRANKFURT GREY 4PCS Ⅱ,64.00*63.00*51.00,21.4,21.0215472
FRANKFURT WHITE 4PCS Ⅱ,64.00*63.00*51.00,21.4,21.0215472
GENOVA FABRIC GREY 2PCS,69.00*51.00*38.00,13.5,19.054948
JULE GREEN Ⅰ,71.00*52.50*51.00,12.0,17.732176
JULE ROSE Ⅰ,71.00*52.50*51.00,12.0,17.732176
KAROMI KD,52.00*48.00*28.00,11.75,17.511714
KAROMI PU BLACK,95.00*46.00*26.00,7.0,10.322935999999999
KAROMI PU BLACK,95.00*46.00*26.00,7.0,10.322935999999999
KAROMI VINTAGE A,95.00*46.00*26.00,7.0,10.322935999999999
KAROMI VINTAGE A KD,52.00*48.00*28.00,11.75,17.511714
KAROMI VINTAGE B,95.00*46.00*26.00,7.0,10.322935999999999
KOM-DC001 COGNAC,46.00*95.00*26.00,12.3,17.9967304
KRICOX BLACK 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX BLACK DINING CHAIR,49.00*44.00*14.20,4.4,8.0301312
KRICOX GUN 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX RED 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX RED 4PCS,50.00*48.00*85.00,20.2,19.963329599999998
KRICOX SILVER 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX SILVER WOOD DINING CHAIR 4PCS,50.00*48.00*85.00,21.2,20.8451776
KRICOX WHITE 2PCS,50.00*48.00*58.00,10.7,16.5857736
KRICOX WHITE 4PCS,50.00*48.00*85.00,20.2,19.963329599999998
LAMB DIM GREY PU 2PCS,68.00*55.50*57.00,15.6,15.9068288
LARIA BROWN Ⅱ,69.00*58.00*48.00,21.0,20.668808
LARONDA ANTHRACITE,71.00*61.00*57.50,18.0,18.023263999999998
LARONDA BEIGE,71.00*61.00*57.50,18.0,18.023263999999998
LARONDA GREY,71.00*61.00*57.50,18.0,18.023263999999998
LOWE BK,89.00*36.00*49.00,14.0,14.495871999999999
LOWE DG,89.00*36.00*49.00,14.0,14.495871999999999
LOWE GR,89.00*36.00*49.00,14.0,14.495871999999999
LOWE NB,89.00*36.00*49.00,14.0,14.495871999999999
LUCETTA BEIGE,97.00*35.00*46.00,13.5,19.054948
LUCETTA BLACK,97.00*35.00*46.00,13.5,19.054948
LUCETTA GREEN,97.00*35.00*46.00,13.5,19.054948
